epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,81.4037,1.06913,0.74903,0.99197,0.72886,0.000301298,0.000301298,0.000301298
2,176.395,0.64865,0.77025,0.99192,0.73951,0.000592333,0.000592333,0.000592333
3,243.663,0.62768,0.72405,0.98321,0.82878,0.000871369,0.000871369,0.000871369
4,308.896,0.59151,0.76823,0.98434,0.78981,0.000855005,0.000855005,0.000855005
5,375.84,0.555,0.75543,0.99803,0.6893,0.000837007,0.000837007,0.000837007
6,443.034,0.52264,0.78188,0.99248,0.77337,0.000819009,0.000819009,0.000819009
7,510.087,0.50255,0.78452,0.99096,0.71703,0.000801011,0.000801011,0.000801011
8,576.124,0.47684,0.78165,0.99382,0.71068,0.000783013,0.000783013,0.000783013
9,643.638,0.46585,0.77503,0.99495,0.68301,0.000765014,0.000765014,0.000765014
10,710.695,0.44165,0.77868,0.99079,0.78796,0.000747016,0.000747016,0.000747016
11,777.647,0.42677,0.8182,0.99927,0.64859,0.000729018,0.000729018,0.000729018
12,845.774,0.40744,0.82617,0.99646,0.54832,0.00071102,0.00071102,0.00071102
13,910.669,0.40562,0.8127,0.99113,0.63084,0.000693022,0.000693022,0.000693022
14,975.906,0.38282,0.80652,0.99147,0.73802,0.000675023,0.000675023,0.000675023
15,1040.3,0.368,0.81792,0.99489,0.63028,0.000657025,0.000657025,0.000657025
16,1105.02,0.35951,0.69682,0.98383,1.01592,0.000639027,0.000639027,0.000639027
17,1172.19,0.34922,0.78373,0.98804,0.72139,0.000621029,0.000621029,0.000621029
18,1237.09,0.34032,0.80366,0.99556,0.72621,0.000603031,0.000603031,0.000603031
19,1301.97,0.32597,0.78204,0.99051,0.757,0.000585032,0.000585032,0.000585032
20,1369.27,0.31387,0.81438,0.99506,0.61657,0.000567034,0.000567034,0.000567034
21,1433.82,0.30537,0.78845,0.98989,0.76136,0.000549036,0.000549036,0.000549036
22,1499.07,0.29173,0.75229,0.99551,0.86317,0.000531038,0.000531038,0.000531038
23,1563.59,0.28367,0.76559,0.99669,0.77574,0.00051304,0.00051304,0.00051304
24,1630.38,0.26655,0.78508,0.99556,0.70393,0.000495041,0.000495041,0.000495041
25,1698.38,0.25982,0.81399,0.99686,0.7269,0.000477043,0.000477043,0.000477043
26,1763.97,0.25167,0.78176,0.99472,0.82226,0.000459045,0.000459045,0.000459045
27,1828.01,0.23582,0.80551,0.99714,0.72921,0.000441047,0.000441047,0.000441047
