epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,210.999,0.50215,0.76739,0.99248,0.74347,0.00998596,0.00332865,0.00998596,0.00332865,0.00998596,0.00332865,0.00998596,0.00332865
2,407.673,0.45226,0.81674,0.99068,0.59824,0.0197386,0.00657954,0.0197386,0.00657954,0.0197386,0.00657954,0.0197386,0.00657954
3,599.07,0.5308,0.77054,0.9936,0.72567,0.0292438,0.00974793,0.0292438,0.00974793,0.0292438,0.00974793,0.0292438,0.00974793
4,789.772,0.65083,0.79058,0.99461,0.60568,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,981.828,0.60609,0.77177,0.9982,0.70447,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1171.84,0.56472,0.80826,0.99719,0.64398,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1361.66,0.56184,0.8086,0.99781,0.64508,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,1550.3,0.5349,0.8177,0.99029,0.61934,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,1740.5,0.51745,0.81365,0.9877,0.62885,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,1929.81,0.49562,0.81472,0.99225,0.61445,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,2119.06,0.46993,0.76234,0.99495,0.74402,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,2313.16,0.44046,0.79361,0.99736,0.62048,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,2511.99,0.43391,0.81539,0.99276,0.63719,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
