epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,174.714,1.4285,1.4162,0.00542,0.50945,0.43622,0.43927,0.23445,1.62905,1.80913,0.0067,0.0099889,0.00332963,0.0099889,0.00332963,0.0099889,0.00332963,0.0099889,0.00332963
2,313.746,1.44672,1.42852,0.00549,0.50211,0.41456,0.42321,0.22309,1.64846,1.85049,0.00678,0.019857,0.00661899,0.019857,0.00661899,0.019857,0.00661899,0.019857,0.00661899
3,440.427,1.48388,1.49007,0.00566,0.47783,0.41682,0.4047,0.20911,1.70667,1.87619,0.00707,0.029593,0.00986435,0.029593,0.00986435,0.029593,0.00986435,0.029593,0.00986435
4,559.375,1.54861,1.61355,0.00603,0.48449,0.41138,0.41118,0.21891,1.66507,1.87315,0.00695,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,678.038,1.55711,1.63379,0.00607,0.49422,0.41841,0.42094,0.21963,1.67884,1.85138,0.007,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,798.053,1.56084,1.62473,0.00609,0.48121,0.42226,0.42031,0.22316,1.67984,1.85238,0.00699,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,919.045,1.55866,1.60796,0.00606,0.50065,0.4238,0.42157,0.22269,1.67537,1.88582,0.00689,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1040.23,1.55936,1.60486,0.00595,0.48373,0.42768,0.41826,0.2204,1.71371,1.8233,0.00713,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1161.46,1.54295,1.60724,0.00601,0.47367,0.41907,0.40418,0.21067,1.67095,1.92215,0.00701,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1281.39,1.54444,1.59035,0.00596,0.477,0.42528,0.41553,0.21976,1.68834,1.85926,0.00703,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
