epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.6313,0.98449,0.8179,0.99511,0.54908,0.00030022,0.00030022,0.00030022
2,27.0934,0.44335,0.86111,0.99517,0.41897,0.000591276,0.000591276,0.000591276
3,36.8875,0.41059,0.86021,0.9982,0.43852,0.000870334,0.000870334,0.000870334
4,46.555,0.3774,0.83897,0.99685,0.47923,0.000855005,0.000855005,0.000855005
5,56.3824,0.35882,0.85706,0.99949,0.44593,0.000837007,0.000837007,0.000837007
6,66.1002,0.33393,0.84689,0.99888,0.46016,0.000819009,0.000819009,0.000819009
7,75.6958,0.31757,0.86274,0.99944,0.43998,0.000801011,0.000801011,0.000801011
8,85.5896,0.30741,0.86746,0.99899,0.41868,0.000783013,0.000783013,0.000783013
9,95.328,0.29483,0.86549,0.99899,0.41961,0.000765014,0.000765014,0.000765014
10,105.156,0.27584,0.85931,0.99927,0.45033,0.000747016,0.000747016,0.000747016
11,114.86,0.2655,0.87414,0.99938,0.43057,0.000729018,0.000729018,0.000729018
12,124.574,0.25437,0.85768,0.99685,0.48216,0.00071102,0.00071102,0.00071102
13,134.371,0.25265,0.85526,0.99955,0.4951,0.000693022,0.000693022,0.000693022
14,143.712,0.24219,0.86307,0.99933,0.50714,0.000675023,0.000675023,0.000675023
15,153.333,0.23695,0.85083,0.99904,0.51092,0.000657025,0.000657025,0.000657025
16,163.347,0.22403,0.87105,0.99865,0.46544,0.000639027,0.000639027,0.000639027
17,172.631,0.21847,0.86897,0.99916,0.47646,0.000621029,0.000621029,0.000621029
18,182.549,0.21094,0.86313,0.99944,0.51936,0.000603031,0.000603031,0.000603031
19,192.266,0.19999,0.84987,0.99927,0.53888,0.000585032,0.000585032,0.000585032
20,201.669,0.19912,0.8583,0.99843,0.54777,0.000567034,0.000567034,0.000567034
21,211.625,0.18197,0.86892,0.99646,0.50727,0.000549036,0.000549036,0.000549036
22,220.983,0.18241,0.86043,0.99826,0.54289,0.000531038,0.000531038,0.000531038
23,230.487,0.17065,0.8615,0.99871,0.53438,0.00051304,0.00051304,0.00051304
24,240.064,0.16859,0.8574,0.9991,0.55415,0.000495041,0.000495041,0.000495041
25,249.802,0.16854,0.85723,0.99831,0.59322,0.000477043,0.000477043,0.000477043
26,259.571,0.15406,0.86161,0.99736,0.5781,0.000459045,0.000459045,0.000459045
