epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,69.1281,0.37374,0.83695,0.9927,0.5307,0.00998847,0.00332949,0.00998847,0.00332949,0.00998847,0.00332949,0.00998847,0.00332949
2,128.121,0.36578,0.84414,0.9977,0.58911,0.0197906,0.00659686,0.0197906,0.00659686,0.0197906,0.00659686,0.0197906,0.00659686
3,178.412,0.44469,0.83931,0.99719,0.54104,0.0293947,0.00979823,0.0293947,0.00979823,0.0293947,0.00979823,0.0293947,0.00979823
4,227.655,0.48358,0.83633,0.99871,0.50928,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,277.073,0.43439,0.79312,0.99472,0.63565,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,325.858,0.41444,0.85616,0.99854,0.46154,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,375.04,0.38956,0.86285,0.99786,0.44137,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,423.324,0.38445,0.84689,0.99275,0.4584,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,472.687,0.3705,0.81976,0.99691,0.56082,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,522.371,0.35675,0.86077,0.99944,0.43666,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,571.839,0.34467,0.86043,0.9973,0.45449,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,621.13,0.34095,0.87431,0.99618,0.43814,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,670.721,0.33413,0.86746,0.99809,0.41873,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,719.148,0.33265,0.86583,0.99927,0.44355,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,768.302,0.31804,0.85953,0.99871,0.47144,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,817.21,0.31457,0.86982,0.99854,0.41967,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,866.255,0.31064,0.87145,0.99854,0.43347,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,915.837,0.30342,0.86999,0.99933,0.43602,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,965.839,0.3048,0.87386,0.99899,0.42524,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1015.29,0.29836,0.87341,0.99803,0.43607,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1064.92,0.29091,0.87684,0.9982,0.42433,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1114.04,0.29066,0.87167,0.99803,0.45682,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1163.95,0.28256,0.87218,0.99893,0.44711,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1213.83,0.27583,0.86768,0.99882,0.46279,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
