epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,79.3257,1.85385,4.91037,0.00759,0.37911,0.25491,0.22589,0.11603,1.70798,2.53823,0.00665,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858
2,140.991,1.77804,2.67073,0.00709,0.4085,0.27826,0.25242,0.11923,1.96696,2.46447,0.00825,0.0197582,0.00658606,0.0197582,0.00658606,0.0197582,0.00658606,0.0197582,0.00658606
3,203.54,1.91272,2.4885,0.00786,0.29064,0.16768,0.12433,0.04951,2.45079,3.88405,0.01178,0.0293626,0.00978754,0.0293626,0.00978754,0.0293626,0.00978754,0.0293626,0.00978754
4,265.447,1.99759,2.48757,0.00835,0.43194,0.19049,0.18545,0.0812,2.08778,3.16563,0.00913,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,327.456,1.94695,2.36307,0.00813,0.43539,0.32811,0.31287,0.14763,2.02966,2.2006,0.00868,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,389.932,1.92393,2.25027,0.00788,0.45992,0.33278,0.33167,0.15664,1.95785,2.15114,0.00825,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,451.82,1.88973,2.22715,0.00769,0.46247,0.34663,0.32722,0.1618,1.94845,2.12745,0.00849,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,513.46,1.87141,2.19347,0.00764,0.4481,0.33229,0.31347,0.1585,1.91597,2.19568,0.0081,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,575.637,1.85111,2.15307,0.00746,0.44295,0.374,0.35613,0.18389,1.86803,2.01606,0.00774,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,638.198,1.83516,2.10467,0.00745,0.46533,0.38428,0.36524,0.18079,1.84729,2.02778,0.0077,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,700.509,1.81759,2.08903,0.00741,0.46239,0.38296,0.37107,0.19218,1.78629,2.00847,0.00727,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,762.356,1.82308,2.05901,0.00735,0.47981,0.37203,0.37205,0.19061,1.85527,1.97422,0.00772,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,824.186,1.81894,2.04464,0.00725,0.47236,0.39494,0.38351,0.19836,1.76779,1.94814,0.00718,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,885.624,1.80045,2.01745,0.00715,0.37531,0.27216,0.23979,0.11787,1.96395,2.58664,0.00856,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,947.171,1.79505,1.97703,0.00708,0.4816,0.39621,0.39392,0.20479,1.78973,1.888,0.00729,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1008.58,1.80095,1.9758,0.00708,0.47861,0.40627,0.40106,0.20897,1.77554,1.86729,0.00729,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1069.96,1.77741,1.95744,0.00707,0.46586,0.39709,0.38771,0.20008,1.76867,1.90893,0.00721,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1131.87,1.77485,1.94541,0.007,0.4862,0.41419,0.40705,0.21396,1.73368,1.85122,0.00698,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1194.34,1.77759,1.94676,0.00702,0.4865,0.41319,0.40883,0.21334,1.76377,1.85236,0.00713,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1256.3,1.76096,1.9075,0.00688,0.47972,0.40396,0.40066,0.21178,1.73897,1.88141,0.00699,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1318.07,1.76643,1.89279,0.00686,0.49637,0.41742,0.41564,0.21876,1.74387,1.85583,0.00708,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1380.18,1.74414,1.8861,0.00681,0.49271,0.42253,0.4172,0.21901,1.73209,1.83307,0.00696,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1442.5,1.75447,1.89046,0.00681,0.50076,0.42165,0.42198,0.22281,1.73671,1.82511,0.00699,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1505.05,1.73099,1.85937,0.00676,0.48321,0.43248,0.42434,0.22169,1.73002,1.79397,0.00697,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1567.69,1.73815,1.85418,0.00669,0.49413,0.42688,0.42061,0.22149,1.71326,1.83324,0.00683,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1629.81,1.72322,1.84068,0.00675,0.4944,0.41989,0.42414,0.22633,1.69026,1.82651,0.00677,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1691.77,1.71915,1.82327,0.00667,0.49221,0.42935,0.42507,0.2247,1.72402,1.79381,0.00696,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1753.66,1.71645,1.82404,0.00664,0.51073,0.42924,0.43096,0.22987,1.67756,1.81761,0.00666,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1815.35,1.72089,1.80811,0.00664,0.4921,0.41643,0.41387,0.22007,1.72121,1.83733,0.00701,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
